author_name,content,author_channel_url,like_count,published_at,viewer_rating,video_id
EmprendeAprendiendo,"Disponible en Amazon el primer libro de Euge Oller: &quot;EMPRENDEDOR QUIEN LO LEA&quot;<br>➡️ <a href=""https://amzn.to/2BB7BSG"">https://amzn.to/2BB7BSG</a>",http://www.youtube.com/channel/UCyM-2pRapEv6V2q7UNO9icg,53,2020-07-12T15:30:50Z,none,3MqLxsaf9so
Gust Inomen,Qe,http://www.youtube.com/channel/UCBdRyOuzWP9imP1wUfIrpGQ,0,2021-10-24T04:14:06Z,none,3MqLxsaf9so
MaRioMendoza,"Yo usaba unos razer black shark, pero me cambié a unos astro a10 y si siento una mejora en cuento a sonido",http://www.youtube.com/channel/UCXz29Z7LqiQz8rjh-RHBfww,0,2021-10-23T05:17:14Z,none,3MqLxsaf9so
wurmtron,Parece casi una publicidad pagada por Razer. No se toco en ningun momento las grandes criticas que hay hacia la empresa.,http://www.youtube.com/channel/UC6tzjZzVwG1_a02bCsnSnTA,0,2021-10-19T16:15:39Z,none,3MqLxsaf9so
impers,"es solo marca, nada en especial, los mejores en lo personal son thermaltaker y algo bonito y barato logitech",http://www.youtube.com/channel/UCXE3p2IVJF4H2cH3WyAaGHg,0,2021-10-15T04:14:06Z,none,3MqLxsaf9so
Ronny Hernandez Cruz,"Son tremendos ladrones por medio de su sitio oficial, cobran y luego te sale error en el pago y no devuelven el dinero, lo peor de todo es que aunque te trates de comunicar con ellos, nunca puedes, no por medio e-mail no responden, si quieres hacerle, tienes que ir hasta su local físico, en fin una estafa",http://www.youtube.com/channel/UCFXcttCkhrvKOlQFRu34xkQ,0,2021-10-15T04:04:30Z,none,3MqLxsaf9so
HAM,El mundo no esta preparado para tener esas tostadoras,http://www.youtube.com/channel/UC_vO6TZ6V79E_hlkYkVtCtQ,0,2021-10-13T11:28:36Z,none,3MqLxsaf9so
Luiz Castillo,Compre dos productos razer y los dos se me malograron en poco tiempo. Mientras mis productos logitec y chinos se  caen  y duran para siempre,http://www.youtube.com/channel/UC0kdKbmdpKgMuEIY1ejBd2Q,0,2021-10-12T22:36:39Z,none,3MqLxsaf9so
jeremmy mauri,Lo único malo es su logo kulero,http://www.youtube.com/channel/UCAJEgtJz2kTv4OyYSrK4CQg,0,2021-10-10T17:09:57Z,none,3MqLxsaf9so
Zakiel PC Gamer,"Buenisimo ! habla de mas marcas gamer!<br> como hyper x, logitech y sus productor gamer, corsair! todos esos estarían genial !",http://www.youtube.com/channel/UCJecJGvdezJu-Jt2-DRyBxQ,0,2021-10-02T16:44:02Z,none,3MqLxsaf9so
HEAVEchannel,"Lo mas críticable que llegue a ver en razer son sus laptops, y lo digo por el tema que una con una rtx 2070 16 gb ram y 1 tb ssd estaba alrededor de 2200 $ y esto lo digo por que he visto modelos de hp o msi con características iguales por casi la mitad de ese precio, pero bueno eso era antes del BOOM de las gráficas... Sabra dios como esta el mercado ahora.",http://www.youtube.com/channel/UCEPgjjBrF2qpii5HXoSQ0BA,0,2021-10-01T23:18:56Z,none,3MqLxsaf9so
Esteban Torres,"<a href=""https://www.youtube.com/watch?v=3MqLxsaf9so&amp;t=2m43s"">2:43</a> que pedo jajajajaj la cara del de la izquierda",http://www.youtube.com/channel/UCw8eeGNMJ11IFro_f7beIRw,0,2021-09-29T14:24:28Z,none,3MqLxsaf9so
Daniel,"correccion: razer es sinonimo de baja calidad por altos precios, basta ver sus audifonos, teclados,portatiles, webcams, etc",http://www.youtube.com/channel/UCYmxA6na1DtEab8G4LgiBGQ,0,2021-09-26T18:57:07Z,none,3MqLxsaf9so
Andrey Mejía,Citaste a Show. Sólo eso ya hizo que este video mereciera mi like.,http://www.youtube.com/channel/UCDYbQ6nCoMgHooCDE0fC-jQ,0,2021-09-23T19:41:02Z,none,3MqLxsaf9so
Antonio Quiñones,Che marca mediocre.,http://www.youtube.com/channel/UCkXiPWUpi6_m6WOSSd1Nbjw,0,2021-09-23T15:44:59Z,none,3MqLxsaf9so
